Date,600000.SS,600004.SS,600005.SS,600008.SS,600009.SS,600010.SS,600015.SS,600016.SS,600018.SS,600019.SS,600026.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600037.SS,600048.SS,600050.SS,600058.SS,600062.SS,600066.SS,600068.SS,600085.SS,600089.SS,600096.SS,600100.SS,600104.SS,600108.SS,600109.SS,600111.SS,600115.SS,600118.SS,600123.SS,600125.SS,600132.SS,600143.SS,600150.SS,600151.SS,600153.SS,600161.SS,600166.SS,600169.SS,600170.SS,600177.SS,600183.SS,600188.SS,600196.SS,600208.SS,600216.SS,600219.SS,600220.SS,600221.SS,600239.SS,600256.SS,600266.SS,600267.SS,600269.SS,600271.SS,600276.SS,600300.SS,600307.SS,600309.SS,600316.SS,600320.SS,600331.SS,600348.SS,600352.SS,600362.SS,600369.SS,600376.SS,600380.SS,600383.SS,600395.SS,600406.SS,600415.SS,600418.SS,600428.SS,600432.SS,600456.SS,600481.SS,600489.SS,600497.SS,600500.SS,600508.SS,600516.SS,600517.SS,600518.SS,600519.SS,600528.SS,600535.SS,600546.SS,600547.SS,600549.SS,600550.SS,600582.SS,600583.SS,600585.SS,600588.SS,600595.SS,600598.SS,600600.SS,600635.SS,600642.SS,600649.SS,600655.SS,600660.SS,600664.SS,600674.SS,600675.SS,600690.SS,600694.SS,600703.SS,600717.SS,600718.SS,600737.SS,600739.SS,600741.SS,600779.SS,600795.SS,600804.SS,600808.SS,600809.SS,600811.SS,600812.SS,600823.SS,600827.SS,600832.SS,600837.SS,600839.SS,600859.SS,600863.SS,600875.SS,600879.SS,600881.SS,600887.SS,600893.SS,600895.SS,600900.SS,600970.SS,600971.SS,600997.SS,600998.SS,600999.SS,601001.SS,601006.SS,601009.SS,601018.SS,601088.SS,601098.SS,601101.SS,601106.SS,601107.SS,601111.SS,601117.SS,601118.SS,601158.SS,601166.SS,601168.SS,601169.SS,601179.SS,601186.SS,601268.SS,601718.SS,601727.SS,601766.SS,601788.SS,601808.SS,601818.SS,601857.SS,601866.SS,601888.SS,601898.SS,601899.SS,601918.SS,601919.SS,601933.SS,601939.SS,601958.SS,601988.SS,601989.SS,601998.SS,000001.SZ,000002.SZ,000009.SZ,000012.SZ,000021.SZ,000024.SZ,000027.SZ,000031.SZ,000039.SZ,000059.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000338.SZ,000401.SZ,000402.SZ,000422.SZ,000423.SZ,000425.SZ,000527.SZ,000528.SZ,000536.SZ,000538.SZ,000559.SZ,000562.SZ,000568.SZ,000612.SZ,000623.SZ,000625.SZ,000630.SZ,000651.SZ,000680.SZ,000685.SZ,000686.SZ,000690.SZ,000709.SZ,000718.SZ,000725.SZ,000728.SZ,000729.SZ,000758.SZ,000768.SZ,000776.SZ,000778.SZ,000780.SZ,000783.SZ,000792.SZ,000800.SZ,000807.SZ,000825.SZ,000839.SZ,000858.SZ,000869.SZ,000876.SZ,000878.SZ,000895.SZ,000898.SZ,000927.SZ,000933.SZ,000937.SZ,000951.SZ,000960.SZ,000961.SZ,000968.SZ,000969.SZ,000983.SZ,000999.SZ,002001.SZ,002007.SZ,002024.SZ,002028.SZ,002069.SZ,002073.SZ,002092.SZ,002106.SZ,002122.SZ,002128.SZ,002142.SZ,002146.SZ,002155.SZ,002202.SZ,002244.SZ,002294.SZ,002304.SZ,002310.SZ,002385.SZ,002399.SZ,002405.SZ,002415.SZ,002422.SZ,002493.SZ,002498.SZ,002500.SZ
2011-01-07,63.86,11.96,18.75,21.01,32.87,10.42,19.24,5.03,4.21,10.66,14.98,11.85,14.58,55.66,548.91,43.48,12.98,98.49,8.73,138.03,137.61,189.07,64.49,109.08,465.1,45.83,247.67,90.94,71.58,61.18,292.25,9.01,271.25,138.02,179.66,196.98,155.33,103.69,58.27,66.15,113.79,131.58,73.62,28.42,122.11,49.16,59.71,138.06,32.97,90.46,21.17,43.3,12.56,144.72,353.28,35.36,148.75,49.0,196.44,395.94,36.11,17.64,346.92,114.91,69.18,134.96,192.09,90.31,53.93,23.85,59.92,77.12,77.04,74.19,389.7,308.21,53.09,8.55,119.94,64.26,53.58,193.19,176.79,55.31,69.92,61.14,164.71,330.06,786.62,34.24,130.08,124.5,493.56,323.54,156.38,334.47,139.67,64.22,272.09,94.56,24.17,43.95,841.32,22.27,29.28,1862.52,390.96,22.57,64.29,172.57,187.8,241.66,172.25,152.4,237.09,168.38,567.84,337.15,123.53,642.21,67.71,5.48,100.99,111.47,57.07,156.08,111.18,91.49,191.39,68.79,127.02,60.12,87.59,237.01,6.72,373.61,48.88,158.53,15.61,188.19,115.9,68.37,14.97,19.74,43.39,9.1,15.23,3.12,25.88,11.84,50.93,6.29,7.01,13.22,5.62,11.01,8.36,29.74,19.37,12.53,8.18,7.22,12.68,4.26,8.71,8.38,16.53,25.14,4.19,12.03,4.76,29.37,11.36,8.18,14.59,10.14,32.23,5.25,29.8,3.77,12.6,5.6,862.68,909.83,85.1,303.38,142.68,75.38,53.97,68.13,413.46,11.59,512.67,215.9,268.71,187.66,4.63,532.36,164.27,77.49,180.04,203.54,531.25,456.66,612.64,156.64,39.33,570.07,172.39,72.28,823.13,113.74,334.57,33.51,201.08,851.01,61.55,91.71,156.45,186.36,29.07,41.36,12.35,17.3,82.17,181.34,104.35,127.13,52.82,85.91,25.45,260.15,37.49,48.63,33.0,98.84,466.42,252.54,156.52,71.09,335.04,11.29,13.23,158.17,85.45,46.68,90.56,28.74,45.78,136.5,143.48,42.35,215.93,523.48,1070.38,262.41,167.06,239.5,43.31,136.28,113.88,51.67,13.8,48.02,47.02,103.4,33.13,141.68,234.8,399.45,41.06,136.7,51.58,91.3,152.3,64.18,41.47,12.13
2011-01-10,63.12,11.85,18.66,20.64,31.97,10.18,18.98,65.21,4.15,10.61,14.62,11.87,14.01,54.29,542.27,42.72,57.78,95.59,8.68,137.7,133.24,188.92,64.65,107.1,459.04,43.78,242.79,89.05,70.42,58.86,293.31,8.68,261.47,133.41,180.76,192.58,148.13,107.68,55.2,65.42,109.29,126.74,75.7,27.81,119.28,48.96,58.31,133.31,32.21,87.95,20.47,42.05,12.22,136.64,365.18,34.16,140.12,48.3,195.57,374.92,34.9,17.42,347.73,28.1,68.99,132.4,187.6,87.03,52.6,23.05,57.95,74.7,75.56,74.0,361.76,295.12,52.19,8.55,117.66,62.71,50.58,193.64,172.65,56.26,68.86,60.61,162.09,312.98,763.75,33.61,123.36,121.84,495.66,313.95,153.76,322.48,138.15,61.42,259.23,89.68,24.26,42.69,821.69,21.94,28.87,1837.31,383.65,22.57,63.25,167.89,182.6,235.02,169.38,149.65,229.57,165.39,551.28,332.55,120.22,635.61,65.72,5.46,95.72,119.1,54.43,156.61,108.29,89.38,187.13,67.26,124.71,61.8,87.34,227.68,410.55,364.21,46.92,154.14,15.55,179.06,113.0,68.09,14.31,19.21,42.53,9.14,14.72,3.09,25.5,11.81,51.91,6.28,6.82,12.77,5.54,12.11,8.16,28.65,18.76,12.21,8.06,7.2,12.47,4.15,8.62,8.35,16.13,24.16,4.09,11.96,4.52,28.8,11.2,8.07,14.36,9.88,31.97,5.3,28.88,3.73,12.64,5.46,839.26,894.96,81.63,291.71,136.68,72.74,53.2,66.07,401.75,11.59,496.73,207.97,270.17,185.28,4.72,521.32,159.79,74.66,175.39,202.5,508.96,431.77,602.36,153.16,37.91,561.91,159.81,70.12,818.29,109.39,324.19,32.46,196.28,839.51,61.22,88.59,152.3,181.86,28.63,39.67,12.12,16.95,80.65,176.95,101.09,120.83,51.88,83.94,24.64,257.03,36.62,46.88,32.78,94.62,454.48,247.74,156.44,70.22,327.35,11.09,13.01,156.5,83.95,44.65,88.57,28.05,46.79,131.96,143.63,40.67,216.96,513.9,1059.04,261.51,165.46,225.1,42.23,133.32,120.6,52.68,13.49,48.37,45.54,100.66,31.83,139.2,211.4,384.27,39.74,134.22,50.0,88.8,147.53,62.93,41.59,11.8
2011-01-11,64.64,11.95,18.81,20.59,32.36,10.25,19.27,65.7,4.39,10.83,14.89,12.08,13.79,54.73,543.8,43.28,58.26,100.86,8.88,135.47,130.39,187.32,65.32,107.13,455.16,43.14,243.96,88.37,71.37,59.02,288.07,8.77,259.82,131.97,174.77,187.5,144.73,107.83,54.83,66.06,108.08,127.07,73.11,28.57,121.29,47.83,59.25,132.82,33.02,86.39,20.41,42.05,12.02,141.65,363.87,35.14,134.27,48.45,193.47,359.43,34.45,17.74,354.32,108.7,69.38,131.28,186.69,86.38,53.65,23.23,60.01,73.56,81.25,75.04,363.69,291.82,53.28,8.55,116.74,61.69,49.68,193.49,178.29,54.71,68.28,58.49,158.24,303.13,760.58,33.75,120.17,121.73,488.16,307.65,152.75,305.03,140.86,60.8,264.01,13.19,24.6,42.53,824.31,22.2,29.11,1840.11,380.87,22.57,63.43,171.63,184.64,234.21,161.67,151.71,231.52,166.65,539.99,337.45,120.54,3.0,65.18,5.52,97.75,121.37,52.77,163.04,109.01,90.01,189.54,70.11,123.07,60.37,84.44,224.05,413.24,363.0,45.91,155.6,15.75,182.57,112.48,67.33,14.43,19.29,42.47,9.3,15.09,3.12,25.83,11.68,51.65,6.26,6.83,12.69,5.47,11.24,8.24,29.38,18.9,12.44,8.03,7.33,12.29,4.21,8.63,8.3,16.27,23.48,4.16,12.08,4.83,28.65,11.26,8.08,14.32,10.26,31.19,5.37,29.16,3.75,12.25,5.51,850.7,923.7,81.2,294.78,133.18,75.96,53.41,67.56,396.14,11.59,502.27,207.32,272.12,188.77,4.76,518.74,154.57,73.33,179.57,195.76,501.9,437.5,600.65,155.88,37.08,562.01,160.75,70.91,837.63,108.84,325.07,9.64,200.96,828.0,61.91,89.14,153.07,180.9,28.85,41.77,12.08,16.86,81.02,174.55,102.03,121.43,52.3,84.19,24.85,250.91,36.17,46.99,32.78,95.34,460.87,245.14,158.68,72.6,329.83,11.24,12.83,156.56,83.95,43.53,89.52,29.07,45.93,128.79,144.62,40.42,212.93,509.16,1038.79,264.51,163.1,225.55,41.12,132.37,118.28,53.19,13.95,49.3,45.44,98.47,33.47,134.46,205.8,371.37,39.72,133.0,48.6,89.3,143.0,61.37,40.28,11.86
2011-01-12,65.06,12.05,18.99,20.64,33.11,10.56,19.68,66.07,4.43,10.99,14.95,12.08,14.21,55.3,541.0,43.55,58.04,103.36,8.88,135.38,129.15,189.58,67.94,107.55,458.55,43.85,244.94,91.11,70.0,59.86,288.93,8.88,264.06,131.97,174.41,190.21,154.85,107.74,55.34,66.52,109.48,128.21,71.47,28.5,122.66,48.53,60.71,133.61,33.02,87.12,20.61,42.38,12.23,139.0,376.21,35.31,135.02,48.77,196.66,355.43,35.02,18.83,350.46,110.11,69.28,131.12,187.34,86.52,52.9,22.83,60.98,75.44,81.88,73.77,347.18,284.97,54.23,8.55,118.89,62.21,50.24,193.7,177.18,55.35,68.4,58.67,158.99,306.63,764.43,33.94,119.74,122.06,485.46,308.25,154.96,302.31,140.52,60.22,266.17,13.19,24.57,41.99,832.16,22.23,29.22,1840.11,388.53,22.57,65.38,178.18,184.31,231.85,160.88,151.89,236.11,179.08,544.89,344.81,120.17,642.21,66.49,5.58,96.86,121.54,53.1,161.54,109.31,90.86,190.84,72.09,121.95,60.63,84.44,225.26,418.64,356.23,45.06,157.9,15.71,176.99,113.97,66.01,14.42,19.41,42.43,9.32,15.31,3.12,26.03,11.77,52.97,6.17,6.83,13.0,5.33,11.26,8.24,30.4,19.04,12.7,7.94,7.31,12.3,4.21,8.54,8.23,16.39,23.28,4.18,12.09,4.83,28.89,11.36,8.09,14.48,10.3,31.61,5.38,28.8,3.77,12.18,5.56,862.13,927.66,81.63,298.16,134.08,77.2,53.71,68.24,397.79,11.59,493.04,207.84,270.46,194.63,4.76,516.9,157.55,73.9,180.04,203.75,487.22,441.19,597.22,153.83,37.35,558.74,161.33,71.88,832.8,109.09,331.73,9.64,192.04,825.24,60.57,90.52,152.86,182.51,29.34,41.08,12.16,16.96,81.47,174.21,102.2,121.2,53.29,84.62,25.1,247.72,37.78,11.61,33.43,97.01,458.93,242.57,156.13,71.32,327.61,11.38,13.57,154.18,83.69,44.0,88.25,29.07,45.69,128.31,143.23,40.2,218.69,510.29,1061.47,264.81,164.7,222.31,40.97,128.15,115.4,52.97,14.1,49.36,45.8,101.07,33.91,135.32,200.8,373.83,39.85,133.4,50.09,89.41,143.26,61.51,40.29,11.85
2011-01-13,64.37,12.01,18.87,20.49,33.29,10.39,19.55,65.95,4.37,10.91,14.98,12.3,14.61,54.93,538.96,43.32,57.7,101.74,8.99,133.19,130.2,191.25,65.15,108.73,452.26,43.3,248.16,91.56,68.53,59.58,289.14,9.0,257.81,130.56,185.16,189.52,151.92,105.17,54.97,65.97,109.39,126.8,73.79,15.18,122.84,48.07,60.99,134.2,32.21,86.83,20.37,42.05,12.53,143.43,378.66,35.34,139.21,48.92,194.85,358.17,35.53,19.02,347.41,109.27,68.99,131.04,188.19,85.87,52.79,22.45,60.01,76.78,80.41,72.17,359.33,289.83,53.77,46.47,122.0,61.9,49.77,191.46,174.23,54.79,68.4,62.25,158.34,325.46,785.65,34.18,122.03,122.53,475.46,306.3,154.9,313.76,140.69,58.96,266.97,13.19,24.29,42.27,842.62,22.25,29.42,1842.91,386.09,22.57,64.12,175.61,184.84,236.73,163.17,154.12,236.53,175.98,545.07,349.11,122.14,640.01,66.56,5.55,98.95,118.94,53.36,157.9,108.53,90.54,188.98,70.55,123.46,62.39,84.98,234.42,422.69,361.79,45.01,159.16,15.61,176.18,112.7,65.98,14.37,19.57,42.53,9.54,15.15,3.09,26.1,11.66,52.08,6.06,6.82,13.21,5.29,10.36,8.18,30.08,18.51,12.63,8.0,7.33,12.18,4.2,8.5,8.35,16.49,23.98,4.09,12.24,4.78,28.69,11.31,8.05,14.46,10.35,31.41,5.46,28.58,3.78,12.12,5.53,858.86,914.78,80.77,294.16,135.21,74.89,53.67,67.56,395.81,11.59,487.95,207.97,267.83,192.68,4.73,518.38,156.75,71.58,178.64,202.09,501.9,430.27,599.96,152.7,37.13,562.58,159.33,71.85,859.18,109.24,328.89,9.64,187.49,831.22,60.0,89.33,152.23,181.54,29.07,40.64,12.08,16.86,83.49,171.75,102.29,118.71,53.13,84.55,24.64,253.95,38.09,46.77,33.0,96.45,471.69,250.07,156.44,70.81,329.39,11.29,13.45,152.44,83.29,42.35,88.97,27.67,44.92,129.33,146.87,41.01,219.64,517.96,1063.9,259.32,169.26,217.0,41.06,130.11,120.6,51.95,13.83,46.64,45.2,98.69,32.93,137.24,208.1,367.2,39.86,134.72,49.53,91.5,146.0,61.87,40.27,11.59
2011-01-14,63.44,11.71,18.69,19.99,33.66,10.32,19.38,65.46,4.37,10.84,14.77,12.37,14.34,53.84,527.99,42.82,56.88,101.87,8.96,123.58,126.59,190.45,65.82,105.96,439.17,42.6,236.83,92.48,68.85,57.86,275.14,8.82,244.37,121.54,184.3,182.95,151.07,104.98,52.93,65.06,110.23,122.67,73.79,15.18,121.74,46.63,58.87,133.31,31.24,85.49,19.95,41.39,12.1,148.22,376.12,34.49,138.68,48.22,188.62,359.15,35.02,18.52,337.28,106.45,67.52,126.16,178.5,83.1,48.68,21.73,59.45,10.98,80.2,66.34,354.03,288.09,53.37,45.0,116.88,59.72,48.09,183.86,167.53,52.81,65.82,61.01,154.03,318.02,788.61,33.38,121.32,116.14,462.76,295.37,149.92,305.85,137.3,56.84,260.82,13.19,24.39,41.71,845.24,21.94,28.94,1814.91,395.14,22.57,63.56,171.4,27.23,236.08,157.43,152.23,231.8,171.83,529.27,338.07,119.91,637.81,63.41,5.5,97.86,124.94,52.84,162.29,106.72,88.86,184.53,69.23,120.78,62.84,81.67,228.54,410.55,356.44,42.92,156.23,15.61,173.52,102.53,62.28,14.06,19.3,41.69,9.44,14.88,3.08,25.49,11.29,48.72,6.12,6.74,13.11,5.25,10.56,8.06,29.23,17.66,12.4,7.79,7.26,12.37,4.14,8.39,8.45,16.44,23.3,3.99,12.27,4.66,28.39,10.97,7.8,14.0,10.34,29.99,5.45,27.32,3.75,12.12,5.46,839.81,925.68,78.32,282.49,136.68,74.27,53.33,66.99,396.64,11.59,470.4,203.55,263.05,192.82,4.71,509.91,159.63,68.31,180.04,198.67,499.88,434.91,597.22,150.14,36.1,564.89,152.28,70.98,873.29,105.84,321.55,32.55,174.27,824.78,59.09,87.15,146.95,179.62,28.9,39.59,11.93,16.61,81.06,158.63,99.37,111.67,52.09,81.11,24.1,250.17,37.34,45.1,33.0,93.58,473.36,250.69,163.01,65.69,333.78,11.12,13.3,148.21,78.53,41.52,83.04,27.09,42.52,122.75,28.28,40.03,214.19,531.61,1054.18,252.83,162.7,215.65,40.07,125.08,122.52,49.89,13.23,46.26,42.29,94.8,33.55,135.26,211.8,367.5,38.02,132.09,47.67,89.61,141.72,60.0,37.87,10.95
2011-01-17,61.0,11.29,18.39,19.32,33.45,9.98,18.66,64.35,4.38,10.62,14.31,12.12,13.65,51.94,496.6,41.69,55.75,93.15,8.83,128.41,121.74,181.73,64.65,99.45,428.76,41.01,218.56,92.53,64.12,55.5,264.25,8.64,223.75,119.01,178.07,173.28,144.73,100.29,50.51,62.14,99.93,116.09,67.48,15.18,117.82,45.11,56.59,126.0,29.47,83.18,19.27,39.89,11.35,143.15,356.52,32.54,132.65,47.19,173.06,345.27,33.88,18.2,317.34,97.41,65.87,120.56,172.98,78.81,46.8,20.91,54.24,10.98,73.88,66.61,343.86,279.33,49.87,42.07,116.1,58.65,46.81,174.99,176.85,51.9,61.12,59.86,145.87,294.15,769.16,32.22,118.07,106.16,445.36,286.38,145.49,294.27,128.3,55.64,247.61,13.19,24.55,40.36,830.85,21.44,27.93,1707.08,391.31,22.57,61.08,165.55,168.72,231.9,149.44,147.07,216.2,154.34,506.51,328.87,116.35,613.61,59.88,5.34,94.64,120.08,49.83,146.0,107.57,85.38,179.52,66.82,120.47,59.66,78.98,210.22,390.98,353.41,41.76,149.96,15.27,169.61,99.87,60.41,13.6,18.63,39.73,9.41,14.2,3.01,24.85,11.4,47.46,5.96,6.54,12.43,4.91,10.46,7.86,28.03,17.36,11.95,7.23,7.08,12.29,3.97,8.25,8.18,15.79,21.48,3.78,12.25,4.52,26.66,10.54,7.51,12.82,9.87,28.69,5.23,27.11,3.69,11.38,5.34,806.59,863.25,72.65,271.12,129.11,68.66,51.96,63.79,378.5,11.59,472.94,192.1,249.5,179.01,4.61,481.94,154.67,63.99,171.45,185.91,483.19,400.12,566.39,140.96,34.49,567.38,147.69,66.76,848.91,100.99,300.7,31.31,170.16,790.72,55.66,83.63,140.34,172.23,28.19,36.08,11.62,16.15,76.63,160.46,94.14,104.14,49.54,77.12,23.29,236.59,35.76,42.0,32.09,87.85,460.17,243.74,150.02,65.77,329.09,10.71,13.27,142.89,77.13,40.14,80.36,24.32,40.37,117.43,133.64,38.81,205.27,506.9,1003.15,248.34,152.14,212.23,39.59,119.45,117.24,48.02,12.95,41.68,39.6,89.42,30.92,128.6,208.29,336.69,37.2,125.99,47.67,85.3,135.32,58.89,35.7,10.48
2011-01-18,61.37,11.31,18.36,19.37,32.85,9.91,18.79,64.11,4.52,10.62,14.33,12.21,13.32,51.86,489.97,41.55,55.88,93.15,8.71,125.86,122.36,179.84,61.76,100.46,421.25,41.2,222.08,92.31,64.54,55.78,266.87,8.57,223.28,119.69,178.19,173.01,143.69,103.21,50.93,62.32,99.7,115.39,67.58,15.18,114.72,45.11,55.17,125.6,29.67,83.0,19.21,40.14,11.24,133.28,343.3,32.56,134.49,46.96,175.38,345.76,34.28,18.77,319.27,98.58,65.77,120.08,25.89,79.39,47.56,20.99,53.15,82.35,74.09,65.15,352.09,274.83,49.65,43.36,114.41,58.15,46.75,178.18,179.67,52.65,61.28,57.25,144.46,298.53,798.63,32.12,117.38,102.58,456.76,287.86,143.0,300.95,127.79,57.34,248.75,13.19,24.52,40.59,803.37,21.29,27.93,1705.68,395.84,22.57,61.17,159.24,172.14,234.06,151.23,147.41,217.87,145.82,495.22,334.39,119.29,611.41,59.65,5.31,96.61,116.02,50.16,144.93,106.36,85.49,180.26,67.26,123.98,59.73,78.96,210.05,389.63,358.96,42.11,149.33,15.26,178.11,97.96,60.04,13.78,18.64,38.97,9.47,14.23,3.01,24.9,11.84,47.29,5.96,6.52,11.95,5.15,9.95,7.8,28.58,17.53,11.96,7.25,7.16,12.17,3.96,8.23,7.94,15.96,21.29,3.79,12.09,4.49,26.62,10.53,7.5,12.89,9.93,29.36,5.27,27.33,3.7,11.46,5.27,804.42,856.32,73.19,16.91,10.54,68.29,51.58,63.22,379.82,11.59,464.16,196.65,248.33,182.35,4.81,478.99,155.4,66.97,172.38,187.68,500.8,387.79,566.39,32.61,35.0,576.88,150.16,66.29,875.3,100.54,301.48,31.5,174.02,784.27,55.84,83.88,140.34,171.91,28.19,35.03,11.7,16.18,78.06,157.78,93.97,106.45,48.97,75.34,23.31,233.62,35.39,41.53,32.09,88.72,469.06,252.72,150.02,66.1,329.83,10.6,13.11,142.36,76.03,38.69,79.7,23.4,40.76,115.22,131.24,39.66,202.82,517.39,1023.4,246.34,149.58,211.15,39.77,116.62,115.56,47.9,12.92,41.14,39.91,89.96,30.22,127.8,213.13,342.0,37.24,125.36,46.41,82.9,134.4,59.25,35.86,10.46
2011-01-19,61.97,11.51,18.48,19.63,33.85,10.11,18.96,64.35,4.71,10.69,14.6,12.45,13.64,52.58,506.55,41.89,56.66,95.25,8.88,131.34,124.07,190.52,67.27,102.18,430.45,42.4,229.11,92.7,66.22,56.78,273.25,8.75,230.7,124.33,193.83,178.67,151.07,107.71,52.46,63.05,101.66,117.23,74.41,15.18,115.36,46.12,57.25,126.69,30.59,84.68,19.61,40.8,11.54,132.21,351.88,33.09,138.61,47.59,181.75,353.89,34.5,18.93,328.92,102.33,67.13,124.0,180.19,81.06,49.54,21.29,54.05,83.02,77.04,68.41,356.9,283.06,50.87,44.03,122.0,60.58,47.5,180.92,191.29,54.6,63.43,60.26,147.65,307.51,799.77,33.85,120.85,109.08,466.86,299.6,146.63,303.53,132.89,58.32,250.68,85.1,24.58,40.75,815.15,21.49,28.21,1725.28,401.41,22.57,62.47,161.11,174.97,241.97,156.82,149.13,220.8,148.12,511.4,344.81,121.47,615.81,60.27,5.43,97.91,120.08,50.89,148.25,108.41,86.65,182.49,68.57,122.81,62.91,81.65,223.53,395.7,363.0,43.13,151.21,15.45,185.36,102.18,62.19,14.02,18.86,40.13,9.57,14.46,3.05,25.25,11.84,49.62,6.15,6.61,12.14,5.26,10.73,7.96,29.21,18.3,12.07,7.43,7.43,12.76,4.02,8.41,8.73,16.15,22.39,3.86,12.22,4.82,27.19,10.75,7.64,13.3,10.32,29.49,5.3,28.37,3.7,12.26,5.36,812.58,875.14,77.57,297.08,130.69,70.14,52.22,64.02,403.56,11.59,482.64,203.03,250.77,186.26,4.88,499.24,159.88,67.83,174.23,192.24,517.22,398.71,580.78,32.61,35.59,578.7,160.51,68.17,904.11,103.19,308.04,31.88,183.62,799.92,59.34,85.32,143.44,174.48,28.52,35.88,11.85,16.37,78.93,164.57,95.26,109.02,49.8,77.92,23.85,239.45,35.78,42.87,32.41,90.4,477.38,254.23,152.81,68.94,332.75,10.75,13.19,148.21,80.01,39.5,83.93,24.36,43.5,119.28,138.23,40.03,207.56,519.2,1034.74,251.03,155.3,222.4,40.52,122.57,127.08,49.4,13.09,42.87,41.13,91.53,30.66,130.02,217.98,346.68,37.53,127.5,47.78,85.61,137.68,60.98,36.28,10.62
2011-01-20,60.4,11.3,18.24,19.0,33.2,9.86,18.26,63.49,4.6,10.46,14.25,12.17,12.62,50.92,494.82,41.06,54.5,89.3,8.83,122.98,116.94,186.45,65.15,97.27,414.95,40.28,217.68,88.37,63.38,54.62,256.76,8.28,225.04,117.81,188.33,175.27,150.69,106.19,49.35,61.23,98.06,110.01,72.67,15.18,112.07,43.36,54.33,120.56,29.22,82.92,19.61,39.14,10.85,130.57,323.79,31.74,138.38,46.25,171.54,344.85,32.73,18.86,319.75,98.34,65.28,120.32,170.12,77.28,46.72,20.41,51.59,81.07,74.09,63.4,364.41,32.42,49.65,43.29,115.64,57.93,45.9,172.2,187.68,53.56,61.02,59.68,140.81,297.22,788.1,33.12,116.3,102.83,445.16,279.94,139.24,293.99,127.29,55.34,246.58,83.3,23.89,38.99,788.98,21.05,27.31,1660.87,395.84,22.57,60.95,155.5,169.51,234.51,159.33,143.97,208.82,136.27,480.74,326.41,117.79,615.81,56.04,5.27,94.66,114.72,48.69,137.43,105.46,83.8,176.73,67.04,120.21,63.17,78.22,216.1,380.18,355.22,41.01,148.91,15.24,180.9,94.14,59.22,13.54,18.22,38.37,9.31,14.01,2.98,24.32,11.51,46.71,5.96,6.37,11.39,5.2,10.97,7.57,28.23,17.23,11.8,7.12,7.17,12.31,3.8,8.16,8.53,15.58,22.06,3.73,11.87,4.97,25.21,10.34,7.33,12.71,10.2,27.65,5.18,26.81,3.66,11.78,5.28,781.55,835.51,83.71,290.17,124.93,67.71,50.77,61.96,398.94,11.59,459.77,194.83,240.43,177.05,4.67,475.31,157.0,65.89,166.57,183.94,493.18,388.58,558.85,32.61,35.25,562.39,163.33,65.9,879.93,101.34,296.19,30.8,171.34,779.21,56.2,82.89,139.08,168.7,28.08,34.02,11.35,15.84,76.54,152.59,89.85,103.96,48.45,72.39,23.03,229.06,34.93,42.26,31.71,86.02,459.62,248.12,150.26,64.95,321.74,10.33,12.5,141.1,76.49,37.46,78.4,23.11,41.23,112.88,131.0,39.83,202.58,501.94,982.09,237.35,156.86,210.7,38.57,115.04,132.44,46.54,12.62,41.43,39.74,86.33,28.74,125.2,216.61,330.87,37.02,123.47,45.01,84.3,136.14,59.12,33.7,10.62
